Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.3-192.168.0.1-60404-53-6,192.168.3.3,60404,192.168.0.1,53,6,01/09/2024 08:19:34 PM,6677,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.5357196345664,6677.0,0.0,6677.0,6677.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,149.7678598172832,149.7678598172832,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,905,0,32,0,0,0,0,1.725196774695794E15,0.0,1.725196774695794E15,1.725196774695794E15,NeedManualLabel
192.168.3.3-149.154.167.99-46676-443-6,192.168.3.3,46676,149.154.167.99,443,6,01/09/2024 08:19:37 PM,959190,14,12,1574.0,6268.0,1283.0,0.0,112.42857142857142,340.9343979950743,1288.0,0.0,522.3333333333334,568.6453333594809,8175.648203171426,27.10620419312128,38367.59999999999,91131.43068484477,301393.0,11.0,959190.0,73783.84615384616,136814.9716812492,324960.0,57.0,655687.0,59607.90909090909,103286.66698509982,269734.0,19.0,0,0,0,0,456,392,14.595648411680688,12.51055578144059,0.0,1288.0,290.44444444444446,489.9484535943421,240049.4871794872,1,2,0,9,25,0,0,0,0.0,301.61538461538464,112.42857142857143,522.3333333333334,0,0,0,7842,12,11973,0,60,0,241,64240,3072,4,32,0,0,0,0,1.725196777842216E15,0.0,1.725196777842216E15,1.725196777842216E15,NeedManualLabel
192.168.3.3-192.168.0.1-38928-53-6,192.168.3.3,38928,192.168.0.1,53,6,01/09/2024 08:19:37 PM,10227902,8,6,108.0,243.0,72.0,0.0,13.5,26.78485712914242,127.0,0.0,40.5,51.161508969145935,34.317888458454135,1.3688046678585697,786761.6923076923,2787800.095239476,1.0064803E7,25.0,1.0227902E7,1461128.8571428573,3793998.7186149405,1.0064803E7,74.0,158640.0,31728.0,29882.114399754246,78625.0,203.0,0,0,0,0,268,200,0.7821740959191826,0.586630571939387,0.0,127.0,23.4,38.9097857687681,1513.9714285714288,1,2,0,5,13,0,0,0,0.0,25.071428571428573,13.5,40.5,0,0,0,351,5,2214,0,7,0,17,64240,905,2,32,163099.0,0.0,163099.0,163099.0,8.625983937506735E14,1.2198983330896688E15,1.725196777436544E15,1.0064803E7,NeedManualLabel
192.168.3.3-192.168.0.1-47804-53-6,192.168.3.3,47804,192.168.0.1,53,6,01/09/2024 08:19:51 PM,10229516,9,7,129.0,304.0,43.0,0.0,14.333333333333334,21.5,146.0,0.0,43.42857142857143,59.71559579333008,42.32849335198264,1.5641013709739542,681967.7333333334,2600034.5190552613,1.0080322E7,24.0,1.0229516E7,1278689.5,3556494.371590975,1.0080322E7,134.0,144633.0,24105.5,21879.21302743771,63658.0,24.0,0,0,0,0,300,232,0.8798070211728493,0.6842943498011049,0.0,146.0,25.470588235294116,42.658700236673326,1819.764705882353,1,2,0,6,15,0,0,0,0.0,27.0625,14.333333333333334,43.42857142857143,0,0,0,433,6,2997,0,8,0,19,64240,905,3,32,149194.0,0.0,149194.0,149194.0,8.62598400651634E14,1.2198983428271535E15,1.725196791222946E15,1.0080322E7,NeedManualLabel
192.168.3.3-149.154.170.200-52200-443-6,192.168.3.3,52200,149.154.170.200,443,6,01/09/2024 08:19:51 PM,30868080,19,27,1977.0,16052.0,671.0,0.0,104.05263157894734,203.07482848672376,1288.0,0.0,594.5185185185184,594.1024497489644,584.0661291534816,1.4902125431837678,685957.3333333334,4486145.965411103,3.0110734E7,2.0,3.086808E7,1714893.3333333335,7086868.461749827,3.0110734E7,35.0,3.0784674E7,1184025.923076923,5909109.571626331,3.0155543E7,2.0,0,0,0,0,616,872,0.6155225721845998,0.8746899709991681,0.0,1288.0,383.5957446808511,526.5202692152906,277223.593894542,1,2,0,18,45,0,0,0,1.0,391.9347826086956,104.05263157894737,594.5185185185185,0,0,0,9014,13,26763,0,42,0,348,64240,3072,8,32,669708.0,0.0,669708.0,669708.0,8.625984107250055E14,1.2198983287457718E15,1.725196791339277E15,3.0110734E7,NeedManualLabel
149.154.170.200-192.168.3.3-443-52200-6,149.154.170.200,443,192.168.3.3,52200,6,01/09/2024 08:20:22 PM,126434,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.637059651675976,42144.666666666664,65446.19656124665,117543.0,27.0,8891.0,8891.0,0.0,8891.0,8891.0,126407.0,126407.0,0.0,126407.0,126407.0,0,0,0,0,64,64,15.818529825837988,15.818529825837988,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3072,501,0,32,0,0,0,0,1.725196822241617E15,0.0,1.725196822241617E15,1.725196822241617E15,NeedManualLabel
149.154.170.200-192.168.3.3-443-52200-6,149.154.170.200,443,192.168.3.3,52200,6,01/09/2024 08:20:22 PM,292114,1,1,0.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,102.69963096599274,6.846642064399515,292114.0,0.0,292114.0,292114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.4233210321997576,3.4233210321997576,0.0,30.0,10.0,17.320508075688775,300.0,1,0,0,1,2,0,0,0,1.0,15.0,0.0,30.0,0,0,0,0,0,0,0,0,0,15,3072,501,0,32,0,0,0,0,1.725196822412065E15,0.0,1.725196822412065E15,1.725196822412065E15,NeedManualLabel
192.168.3.3-149.154.170.200-52200-443-6,192.168.3.3,52200,149.154.170.200,443,6,01/09/2024 08:20:23 PM,1092693,2,0,60.0,0.0,30.0,30.0,30.0,0.0,0,0,0,0,54.91020808223353,1.8303402694077844,1092693.0,0.0,1092693.0,1092693.0,1092693.0,1092693.0,0.0,1092693.0,1092693.0,0,0,0,0,0,1,0,0,0,64,0,1.8303402694077844,0.0,30.0,30.0,30.0,0.0,0.0,2,0,0,2,2,0,0,0,0.0,45.0,30.0,0.0,0,0,0,0,0,0,1,30,0,0,501,0,1,32,0,0,0,0,1.725196823299881E15,0.0,1.725196823299881E15,1.725196823299881E15,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.3-192.168.147.137-54864-6653-6,192.168.3.3,54864,192.168.147.137,6653,6,01/09/2024 08:20:08 PM,12730847,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39274684551624883,3182711.75,1865560.8396487413,5098100.0,1087710.0,7632747.0,2544249.0,1665733.4032854717,4360424.0,1087710.0,0,0,0,0,0,0,0,0,0,160,20,0.31419747641299905,0.07854936910324976,0.0,0.0,0.0,0.0,0.0,0,4,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,7632747.0,0.0,7632747.0,7632747.0,8.62598407027013E14,1.219898358889227E15,1.725196808955926E15,5098100.0,NeedManualLabel
