Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.3-149.154.170.200-52580-443-6,192.168.3.3,52580,149.154.170.200,443,6,01/09/2024 08:08:54 PM,40764253,33,31,2712.0,1756.0,190.0,0.0,82.18181818181819,93.37908443056673,120.0,0.0,56.645161290322584,59.19377691790288,109.60583528907055,1.570003012197967,647051.634920635,1199135.171933134,3095582.0,25.0,4.0764253E7,1273882.9062500002,1433361.3856065378,3095582.0,67.0,4.0704151E7,1356805.0333333332,1494203.6919771815,3183020.0,4346.0,1,0,0,0,1056,992,0.8095328031645767,0.7604702090333901,0.0,190.0,71.66153846153847,79.92110893779035,6387.383653846153,1,0,0,32,64,0,0,0,0.0,72.78125,82.18181818181819,56.645161290322584,0,0,0,144,4,1613,0,42,0,27,501,3072,15,32,0,0,0,0,1.725196134395334E15,0.0,1.725196134395334E15,1.725196134395334E15,NeedManualLabel
149.154.170.200-192.168.3.3-443-52580-6,149.154.170.200,443,192.168.3.3,52580,6,01/09/2024 08:09:35 PM,64910,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.62378678169774,21636.666666666668,29764.0911222455,55587.0,32.0,9323.0,9323.0,0.0,9323.0,9323.0,64878.0,64878.0,0.0,64878.0,64878.0,0,0,0,0,64,64,30.81189339084887,30.81189339084887,0.0,0.0,0.0,0.0,0.0,2,0,0,0,4,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3072,501,0,32,0,0,0,0,1.725196175195107E15,0.0,1.725196175195107E15,1.725196175195107E15,NeedManualLabel
149.154.170.200-192.168.3.3-443-52580-6,149.154.170.200,443,192.168.3.3,52580,6,01/09/2024 08:09:35 PM,274000,1,1,0.0,30.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,109.4890510948905,7.2992700729927,274000.0,0.0,274000.0,274000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.64963503649635,3.64963503649635,0.0,30.0,10.0,17.320508075688775,300.0,1,0,0,1,2,0,0,0,1.0,15.0,0.0,30.0,0,0,0,0,0,0,0,0,0,15,3072,501,0,32,0,0,0,0,1.725196175305472E15,0.0,1.725196175305472E15,1.725196175305472E15,NeedManualLabel
192.168.3.3-149.154.170.200-52580-443-6,192.168.3.3,52580,149.154.170.200,443,6,01/09/2024 08:09:36 PM,1040316,2,0,60.0,0.0,30.0,30.0,30.0,0.0,0,0,0,0,57.67478343118822,1.922492781039607,1040316.0,0.0,1040316.0,1040316.0,1040316.0,1040316.0,0.0,1040316.0,1040316.0,0,0,0,0,0,1,0,0,0,64,0,1.922492781039607,0.0,30.0,30.0,30.0,0.0,0.0,2,0,0,2,2,0,0,0,0.0,45.0,30.0,0.0,0,0,0,0,0,0,1,30,0,0,501,0,1,32,0,0,0,0,1.725196176135623E15,0.0,1.725196176135623E15,1.725196176135623E15,NeedManualLabel
192.168.3.3-192.168.0.1-51098-53-6,192.168.3.3,51098,192.168.0.1,53,6,01/09/2024 08:09:35 PM,15381461,44,39,951.0,2435.0,114.0,0.0,21.613636363636367,29.178054758544146,215.0,0.0,62.43589743589744,65.70740360103422,220.13513540748826,5.396106390673812,187578.79268292684,1122473.0868551666,1.0058303E7,3.0,1.5381461E7,357708.39534883725,1538908.611945757,1.0058303E7,44.0,5319003.0,139973.76315789475,300656.5807765393,1166762.0,17.0,0,0,0,0,1420,1256,2.8605865203572014,2.53551987031661,0.0,215.0,40.309523809523824,53.410205285939256,2852.6500286861733,1,2,0,40,82,0,0,0,0.0,40.795180722891565,21.613636363636363,62.43589743589744,0,0,0,1128,13,1088,0,11,0,29,64240,905,18,32,5323158.0,0.0,5323158.0,5323158.0,8.625980925644035E14,1.2198979071571535E15,1.725196175070504E15,1.0058303E7,NeedManualLabel
Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.3-192.168.147.137-37842-6653-6,192.168.3.3,37842,192.168.147.137,6653,6,01/09/2024 08:09:20 PM,12305721,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4063150789783061,3076430.25,1852585.5284792972,5091480.0,1054056.0,7214241.0,2404747.0,1562420.9997670283,4115894.0,1054056.0,0,0,0,0,0,0,0,0,0,160,20,0.3250520631826449,0.08126301579566123,0.0,0.0,0.0,0.0,0.0,0,4,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,7214241.0,0.0,7214241.0,7214241.0,8.62598082590564E14,1.2198979000761628E15,1.725196160089648E15,5091480.0,NeedManualLabel
192.168.0.1-192.168.3.3-53-51098-6,192.168.0.1,53,192.168.3.3,51098,6,01/09/2024 08:09:50 PM,27,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74074.07407407407,27.0,0.0,27.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,37037.03703703704,37037.03703703704,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,905,501,0,32,0,0,0,0,1.725196190456585E15,0.0,1.725196190456585E15,1.725196190456585E15,NeedManualLabel
192.168.3.3-192.168.147.137-37808-6653-6,192.168.3.3,37808,192.168.147.137,6653,6,01/09/2024 08:09:20 PM,12306236,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40629807521975037,3076559.0,1852324.8969024485,5090836.0,1054685.0,7215400.0,2405133.3333333335,1562621.7489764865,4116699.0,1054685.0,0,0,0,0,0,0,0,0,0,160,20,0.3250384601758003,0.08125961504395007,0.0,0.0,0.0,0.0,0.0,0,4,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,40,7215400.0,0.0,7215400.0,7215400.0,8.62598082589986E14,1.219897900076256E15,1.725196160089136E15,5090836.0,NeedManualLabel
192.168.3.3-149.154.170.200-37424-443-6,192.168.3.3,37424,149.154.170.200,443,6,01/09/2024 08:09:36 PM,12642722,385,657,16017.0,695802.0,1228.0,0.0,41.60259740259735,125.29860373285331,1288.0,0.0,1059.0593607305948,467.4110595665005,56302.669630796285,82.41896009419492,12144.78578290105,71688.3900844832,1078217.0,1.0,1.2642722E7,32923.75520833334,118406.79621397557,1078217.0,8.0,1.2558815E7,19144.535060975606,97906.59156991658,1140239.0,1.0,0,0,0,0,12340,21032,30.452302913881997,51.966657180312914,0.0,1288.0,682.4726749760298,620.4388314269618,384944.34354245383,0,2,0,145,1041,0,0,0,1.0,683.1276391554702,41.602597402597404,1059.0593607305937,0,0,0,237273,221,68157,0,15,0,667,64240,3072,71,32,0,0,0,0,1.72519617639223E15,0.0,1.72519617639223E15,1.72519617639223E15,NeedManualLabel
