Time,Source MAC,Destination MAC,Ethernet Type,Ethernet Length,Source IP,Destination IP,IP Version,IP Header Length,IP TOS,IP Length,IP ID,IP Flags,IP Fragment Offset,IP TTL,IP Protocol,IP Checksum,Source Port,Destination Port,TCP Seq,TCP Ack,TCP Data Offset,TCP Reserved,TCP Flags,TCP Window,TCP Checksum,TCP Urgent Pointer,UDP Length,UDP Checksum,ICMP Type,ICMP Code,ICMP Checksum,ICMP ID,ICMP Seq,ARP HW Type,ARP Protocol Type,ARP HW Size,ARP Protocol Size,ARP Opcode,ARP Source MAC,ARP Source IP,ARP Dest MAC,ARP Dest IP,DNS ID,DNS Query/Response,DNS OpCode,DNS Authoritative,DNS Truncated,DNS Recursion Desired,DNS Recursion Available,DNS Z,DNS RCode,DNS Query Count,DNS Answer Count,DNS Authority Count,DNS Additional Count,DNS Query Name,DNS Query Type,DNS Query Class,DNS Answer Name,DNS Answer Type,DNS Answer Class,DNS Answer TTL,DNS Answer Length,DNS Answer Data,DNS Authority Name,DNS Authority Type,DNS Authority Class,DNS Authority TTL,DNS Authority Length,DNS Authority Data,DNS Additional Name,DNS Additional Type,DNS Additional Class,DNS Additional TTL,DNS Additional Length,DNS Additional Data
1722856441.72662855,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,186,149.154.170.100,192.168.1.3,4,5,4,172,39557,DF,0,52,6,43544,443,37710,1296116222,576034215,8,0,PA,127,59650,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856441.726676028,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,66,192.168.1.3,149.154.170.100,4,5,0,52,57774,DF,0,64,6,22379,37710,443,576034215,1296116342,8,0,A,501,465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856442.452986912,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,74,192.168.2.3,192.168.1.3,4,5,0,60,12101,DF,0,63,6,34848,52642,80,3820280345,0,10,0,S,64240,2177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856442.45309437,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,74,192.168.1.3,192.168.2.3,4,5,0,60,0,DF,0,64,6,46693,80,52642,4047158320,3820280346,10,0,SA,65160,33925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856442.453906794,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,74,192.168.2.3,192.168.1.3,4,5,0,60,43917,DF,0,63,6,3032,58302,443,1330304056,0,10,0,S,64240,35652,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856442.453948704,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,54,192.168.1.3,192.168.2.3,4,5,0,40,0,DF,0,64,6,46713,443,58302,0,1330304057,5,0,RA,0,8828,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856442.456228724,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,66,192.168.2.3,192.168.1.3,4,5,0,52,12102,DF,0,63,6,34855,52642,80,3820280346,4047158321,8,0,A,502,41244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856442.45622889,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,66,192.168.2.3,192.168.1.3,4,5,0,52,12103,DF,0,63,6,34854,52642,80,3820280346,4047158321,8,0,RA,502,41239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.53882529,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,202,149.154.170.100,192.168.1.3,4,5,4,188,39558,DF,0,52,6,43527,443,37710,1296116342,576034215,8,0,PA,127,11633,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.538885989,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,66,192.168.1.3,149.154.170.100,4,5,0,52,57775,DF,0,64,6,22378,37710,443,576034215,1296116478,8,0,A,501,465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.559277433,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,272,192.168.1.3,149.154.170.100,4,5,0,258,57776,DF,0,64,6,22171,37710,443,576034215,1296116478,8,0,PA,501,671,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.604803919,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,222,192.168.1.3,149.154.170.100,4,5,0,208,57777,DF,0,64,6,22220,37710,443,576034421,1296116478,8,0,PA,501,621,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.704494043,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,186,149.154.170.100,192.168.1.3,4,5,4,172,39560,DF,0,52,6,43541,443,37710,1296116478,576034577,8,0,PA,127,7088,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.721991621,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,66,149.154.170.100,192.168.1.3,4,5,4,52,39559,DF,0,52,6,43662,443,37710,1296116478,576034577,8,0,A,127,48192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856443.722028793,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,66,192.168.1.3,149.154.170.100,4,5,0,52,57778,DF,0,64,6,22375,37710,443,576034577,1296116598,8,0,A,501,465,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856444.957749466,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,66,192.168.1.3,149.154.170.96,4,5,0,52,25493,DF,0,64,6,54664,45220,443,295396532,98569784,8,0,A,501,461,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856445.077760641,00:0c:29:6b:f7:82,00:0c:29:9f:b2:57,2048,66,149.154.170.96,192.168.1.3,4,5,4,52,20210,DF,0,52,6,63015,443,45220,98569784,295396533,8,0,A,69,1538,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1722856445.674729653,00:0c:29:9f:b2:57,00:0c:29:6b:f7:82,2048,206,192.168.1.3,149.154.170.100,4,5,0,192,57779,DF,0,64,6,22234,37710,443,576034577,1296116598,8,0,PA,501,605,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
